PERIODO_OFICIALIZACION,SUBREGIMEN,PAIS_ORIGEN_DESC,PAIS_PROCEDENCIA_DESC,MEDIO_TRANSPORTE_DESC,ADUANA_DESC,REGION_DESC,UNIDAD_DESC,CAPITULO,CAPITULO_DESC,PARTIDA,PARTIDA_DESC,CANTIDAD_UNIDAD,KILOS_NETOS,MONTO_FOB_DOLAR,CANAL
201704,IC04,ESPANA,ITALIA,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8413,BOMBAS_PARA_LIQUIDOS__INCLUSO_CON_DISPOS,2,1583,395671,R
201703,IG03,REINO_UNIDO,ITALIA,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8413,BOMBAS_PARA_LIQUIDOS__INCLUSO_CON_DISPOS,2400,6547,81221,R
201704,IC05,JAPON,JAPON,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,85,MAQUINAS__APARATOS_Y_MATERIAL_ELECTRICO_,8501,MOTORES_Y_GENERADORES__ELECTRICOS__EXCEP,5850,2939,56771,R
201705,IG05,INDIA,INDIA,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8483,ARBOLES_DE_TRANSMISION__INCLUIDOS_LOS_DE,300,19680,96354,V
201701,IC05,ESPANA,ESPANA,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8414,BOMBAS_DE_AIRE_O_DE_VACIO__COMPRESORES_D,1872,15000,99980,V
201704,IC04,RUMANIA,REINO_UNIDO,CAMION,MENDOZA,DIR__REG__AD__CENTRAL,UNIDAD,85,MAQUINAS__APARATOS_Y_MATERIAL_ELECTRICO_,8517,TELEFONOS__INCLUIDOS_LOS_TELEFONOS_CELUL,200,390,167971,N
201704,IC04,ESPANA,REINO_UNIDO,CAMION,MENDOZA,DIR__REG__AD__CENTRAL,UNIDAD,85,MAQUINAS__APARATOS_Y_MATERIAL_ELECTRICO_,8517,TELEFONOS__INCLUIDOS_LOS_TELEFONOS_CELUL,50,74,50673,N
201702,IC04,REP__FED_DE_ALEMANIA,REP__FED_DE_ALEMANIA,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8483,ARBOLES_DE_TRANSMISION__INCLUIDOS_LOS_DE,627,1217,49553,V
201701,IC05,REP__FED_DE_ALEMANIA,REP__FED_DE_ALEMANIA,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8421,CENTRIFUGADORAS__INCLUIDAS_LAS_SECADORAS,1,2107,93603,V
201704,IC05,CHINA,CHINA,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,KILOGRAMO,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8409,PARTES_IDENTIFICABLES_COMO_DESTINADAS__E,10441,10441,46260,N
201702,IC05,ESPANA,ESPANA,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,KILOGRAMO,85,MAQUINAS__APARATOS_Y_MATERIAL_ELECTRICO_,8504,TRANSFORMADORES_ELECTRICOS__CONVERTIDORE,5003,5003,49640,R
201705,IG05,BRASIL,BRASIL,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8483,ARBOLES_DE_TRANSMISION__INCLUIDOS_LOS_DE,1517,75348,395213,V
